tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,budget,openingweekend
tt2436682,movie,The Duel,The Duel,0,2016,\N,110,"Drama,Western",10000000.0,4500.0
tt2461150,movie,Masterminds,Masterminds,0,2016,\N,95,"Action,Comedy,Crime",25000000.0,6541205.0
tt2467442,movie,K2: Siren of the Himalayas,K2: Siren of the Himalayas,0,2012,\N,75,Documentary,210000.0,1421.0
tt2671706,movie,Fences,Fences,0,2016,\N,139,Drama,24000000.0,11600170.0
tt2717822,movie,Blackhat,Blackhat,0,2015,\N,133,"Crime,Drama,Mystery",70000000.0,4415000.0
tt2734806,movie,Ethereal Everlasting,Ethereal Everlasting,0,2011,\N,90,"Drama,Romance",75000.0,19680.0
tt2908446,movie,Insurgent,Insurgent,0,2015,\N,119,"Adventure,Sci-Fi,Thriller",110000000.0,52263680.0
tt2908856,movie,My Old Lady,My Old Lady,0,2014,\N,107,"Drama,Romance",5000000.0,124680.0
tt2910814,movie,The Signal,The Signal,0,2014,\N,97,"Sci-Fi,Thriller",4000000.0,155642.0
tt2911342,movie,Dragon Nest: Warriors Dawn,Dragon Nest: Warriors Dawn,0,2014,\N,88,"Adventure,Animation,Family",40000000.0,5690000.0
tt2911666,movie,John Wick,John Wick,0,2014,\N,101,"Action,Crime,Thriller",20000000.0,14415922.0
tt2913948,movie,Whensday,Whensday,0,2013,\N,100,Comedy,4000.0,12497.0
tt2914838,movie,R100,R100,0,2013,\N,99,"Comedy,Drama",5500000.0,7263.0
tt2918436,movie,The Lazarus Effect,The Lazarus Effect,0,2015,\N,83,"Horror,Mystery,Sci-Fi",3300000.0,10203437.0
tt2920808,movie,Gods Pocket,Gods Pocket,0,2014,\N,88,"Crime,Drama",1000000.0,23400.0
tt2932536,movie,47 Meters Down,47 Meters Down,0,2017,\N,89,"Adventure,Drama,Horror",5500000.0,11205561.0
tt2933544,movie,5 Flights Up,5 Flights Up,0,2014,\N,88,Drama,6000000.0,238491.0
tt2937898,movie,A Most Violent Year,A Most Violent Year,0,2014,\N,125,"Action,Crime,Drama",20000000.0,1512224.0
tt2938956,movie,The Transporter Refueled,The Transporter Refueled,0,2015,\N,96,"Action,Comedy,Crime",25000000.0,7130000.0
tt2948356,movie,Zootopia,Zootopia,0,2016,\N,108,"Adventure,Animation,Comedy",150000000.0,75063401.0
tt2950418,movie,Greater,Greater,0,2016,\N,130,"Biography,Family,Sport",9000000.0,627674.0
tt2952602,movie,Kung Fu Jungle,Yi ge ren de wu lin,0,2014,\N,100,"Action,Drama",25000000.0,58664.0
tt2955096,movie,Happy Christmas,Happy Christmas,0,2014,\N,82,"Comedy,Drama",70000.0,7523.0
tt2957918,movie,Toaster,Toaster,0,2001,\N,85,Comedy,2000.0,47.0
tt2967224,movie,Hot Pursuit,Hot Pursuit,0,2015,\N,87,"Action,Comedy,Crime",35000000.0,13942258.0
tt2975590,movie,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,0,2016,\N,151,"Action,Adventure,Sci-Fi",250000000.0,166007347.0
tt3074732,movie,Of Horses and Men,Hross í oss,0,2013,\N,81,"Comedy,Drama,Romance",10000000.0,49.0
tt3076658,movie,Creed,Creed,0,2015,\N,133,"Drama,Sport",35000000.0,29632823.0
tt3077214,movie,Suffragette,Suffragette,0,2015,\N,106,"Biography,Drama,History",14000000.0,76244.0
tt3079380,movie,Spy,Spy,0,2015,\N,119,"Action,Comedy,Crime",65000000.0,29085719.0
tt3082898,movie,Kickboxer: Vengeance,Kickboxer: Vengeance,0,2016,\N,90,"Action,Crime,Drama",10000000.0,1469.0
tt3095734,movie,Monster Trucks,Monster Trucks,0,2016,\N,104,"Action,Adventure,Comedy",125000000.0,10950705.0
tt3099498,movie,Tusk,Tusk,0,2014,\N,102,"Comedy,Drama,Horror",3000000.0,846831.0
tt3102146,movie,Persistence of Memory,Persistence of Memory,0,2014,\N,105,"Biography,Drama,Romance",1000000.0,34510.0
